method,row_abs,doc_id,gt_n,pred_n,jaccard_lex,soft_recall,soft_precision,soft_f1,soft_mean_max,global_sem_sim
llama_3.1_8b,214,1196,12,5,0.4166666666666667,0.5833333333333334,1.0,0.7368421052631579,0.8757138252258301,0.8714971542358398
llama_3.1_8b,215,1197,10,5,0.07142857142857142,0.7,0.6,0.6461538461538462,0.7437371015548706,0.8444898724555969
llama_3.1_8b,216,1198,8,5,0.08333333333333333,0.75,0.8,0.7741935483870969,0.800250768661499,0.8008571267127991
llama_3.1_8b,217,1199,8,5,0.08333333333333333,0.25,0.4,0.3076923076923077,0.573538601398468,0.8016089797019958
llama_3.1_8b,218,12,8,5,0.3,0.375,0.6,0.4615384615384615,0.7031283378601074,0.8126521110534668
llama_3.1_8b,219,120,22,5,0.08,0.18181818181818182,0.8,0.2962962962962963,0.7118897438049316,0.7857265472412109
llama_3.1_8b,220,1200,14,5,0.35714285714285715,0.5714285714285714,1.0,0.7272727272727273,0.8503192663192749,0.7822104692459106
llama_3.1_8b,221,1201,7,5,0.2,0.2857142857142857,0.4,0.3333333333333333,0.6501561403274536,0.7921884059906006
llama_3.1_8b,222,1202,8,5,0.08333333333333333,0.625,0.6,0.6122448979591836,0.7287777662277222,0.8082737326622009
llama_3.1_8b,223,1203,9,5,0.0,0.1111111111111111,0.2,0.14285714285714285,0.5316932201385498,0.6369968056678772
llama_3.1_8b,224,1204,17,5,0.047619047619047616,0.29411764705882354,0.6,0.3947368421052632,0.6524614095687866,0.7262803316116333
llama_3.1_8b,225,1205,16,5,0.23529411764705882,0.375,1.0,0.5454545454545454,0.7845169901847839,0.8304890394210815
llama_3.1_8b,226,1206,14,5,0.05555555555555555,0.35714285714285715,0.6,0.44776119402985076,0.7012152075767517,0.8282181024551392
llama_3.1_8b,227,1207,11,5,0.0,0.36363636363636365,0.6,0.4528301886792453,0.6640695333480835,0.6846920251846313
llama_3.1_8b,228,1208,19,5,0.0,0.3157894736842105,0.6,0.41379310344827586,0.641789436340332,0.6846760511398315
llama_3.1_8b,229,1209,8,5,0.18181818181818182,0.5,0.6,0.5454545454545454,0.7409037351608276,0.7737614512443542
llama_3.1_8b,230,121,15,5,0.05263157894736842,0.2,0.8,0.32000000000000006,0.6637803316116333,0.7912681102752686
llama_3.1_8b,231,1210,8,5,0.08333333333333333,0.875,0.8,0.8358208955223881,0.8110372424125671,0.8113504648208618
llama_3.1_8b,232,1211,19,5,0.043478260869565216,0.42105263157894735,1.0,0.5925925925925926,0.7150001525878906,0.8171597123146057
llama_3.1_8b,233,1212,17,5,0.15789473684210525,0.23529411764705882,0.8,0.3636363636363636,0.7095137238502502,0.7398430705070496
llama_3.1_8b,234,1213,22,5,0.08,0.45454545454545453,0.8,0.5797101449275363,0.7538427114486694,0.7884843945503235
llama_3.1_8b,235,1214,13,5,0.0,0.38461538461538464,0.8,0.5194805194805195,0.7063885927200317,0.7566038966178894
llama_3.1_8b,236,1215,14,5,0.1875,0.5714285714285714,1.0,0.7272727272727273,0.8579331040382385,0.8411189317703247
llama_3.1_8b,237,1216,13,5,0.058823529411764705,0.46153846153846156,0.8,0.5853658536585367,0.747260332107544,0.7458966374397278
llama_3.1_8b,238,1217,24,5,0.11538461538461539,0.2916666666666667,1.0,0.45161290322580644,0.763127326965332,0.7875512838363647
llama_3.1_8b,239,1218,8,5,0.625,0.625,1.0,0.7692307692307693,0.9038163423538208,0.8777418732643127
llama_3.1_8b,240,1219,10,5,0.25,0.7,1.0,0.8235294117647058,0.8264212608337402,0.8802091479301453
llama_3.1_8b,241,122,17,5,0.15789473684210525,0.47058823529411764,1.0,0.6399999999999999,0.8172369599342346,0.7543812394142151
llama_3.1_8b,242,1220,12,5,0.13333333333333333,0.4166666666666667,0.8,0.547945205479452,0.7406734228134155,0.8135554790496826
llama_3.1_8b,243,1221,10,5,0.25,0.6,0.8,0.6857142857142857,0.8139309883117676,0.8757224678993225
llama_3.1_8b,244,1222,13,5,0.2,0.46153846153846156,0.8,0.5853658536585367,0.7801575660705566,0.8252722024917603
llama_3.1_8b,245,1223,12,5,0.21428571428571427,0.4166666666666667,1.0,0.5882352941176471,0.8121604323387146,0.8294680118560791
llama_3.1_8b,246,1224,20,5,0.25,0.55,1.0,0.7096774193548387,0.8280247449874878,0.8482324481010437
llama_3.1_8b,247,1225,7,5,0.2,0.42857142857142855,0.6,0.5,0.7196242809295654,0.8135367035865784
llama_3.1_8b,248,1226,5,5,0.0,0.2,0.2,0.20000000000000004,0.5477296113967896,0.5913117527961731
llama_3.1_8b,249,1227,9,5,0.2727272727272727,0.6666666666666666,0.8,0.7272727272727272,0.804363489151001,0.7661932110786438
llama_3.1_8b,250,1228,8,5,0.08333333333333333,0.125,0.2,0.15384615384615385,0.5283448696136475,0.8152599334716797
llama_3.1_8b,251,1229,6,5,0.2222222222222222,0.3333333333333333,0.4,0.3636363636363636,0.7137314081192017,0.8256309628486633
llama_3.1_8b,252,123,14,5,0.1875,0.5714285714285714,1.0,0.7272727272727273,0.8258944749832153,0.7588551640510559
llama_3.1_8b,253,1230,9,5,0.07692307692307693,0.6666666666666666,0.8,0.7272727272727272,0.7186954617500305,0.8286967873573303
llama_3.1_8b,254,1231,8,5,0.18181818181818182,0.625,0.6,0.6122448979591836,0.7369983792304993,0.8409877419471741
llama_3.1_8b,255,1232,9,5,0.16666666666666666,0.6666666666666666,0.8,0.7272727272727272,0.8435837030410767,0.9372273683547974
llama_3.1_8b,256,1233,12,5,0.0625,0.5833333333333334,0.8,0.674698795180723,0.7768638134002686,0.8317780494689941
llama_3.1_8b,257,1234,9,5,0.07692307692307693,0.4444444444444444,0.6,0.5106382978723405,0.6883023977279663,0.7822021842002869
llama_3.1_8b,258,1235,13,5,0.058823529411764705,0.3076923076923077,0.8,0.4444444444444444,0.6707433462142944,0.7286925911903381
llama_3.1_8b,259,1236,11,5,0.14285714285714285,0.5454545454545454,0.8,0.6486486486486486,0.7803508043289185,0.8913694024085999
llama_3.1_8b,260,1237,14,5,0.05555555555555555,0.35714285714285715,0.8,0.4938271604938272,0.6710224151611328,0.7665395140647888
llama_3.1_8b,261,1238,12,5,0.13333333333333333,0.4166666666666667,0.6,0.49180327868852464,0.6765959858894348,0.6346262693405151
llama_3.1_8b,262,1239,12,5,0.0625,0.5,0.8,0.6153846153846154,0.7211332321166992,0.7691770792007446
llama_3.1_8b,263,124,20,5,0.08695652173913043,0.4,1.0,0.5714285714285715,0.752143144607544,0.8264771699905396
llama_3.1_8b,264,1240,9,5,0.07692307692307693,0.6666666666666666,1.0,0.8,0.7936829328536987,0.8782019019126892
llama_3.1_8b,265,1241,15,5,0.25,0.4,1.0,0.5714285714285715,0.7893750667572021,0.7466676831245422
llama_3.1_8b,266,1242,11,5,0.23076923076923078,0.5454545454545454,0.8,0.6486486486486486,0.7225700616836548,0.7260507345199585
llama_3.1_8b,267,1243,10,5,0.07142857142857142,0.7,0.8,0.7466666666666666,0.7775945663452148,0.8721725344657898
llama_3.1_8b,268,1244,8,5,0.3,0.875,1.0,0.9333333333333333,0.908891499042511,0.9433507323265076
llama_3.1_8b,269,1245,13,5,0.125,0.5384615384615384,0.6,0.5675675675675675,0.7314856648445129,0.7395649552345276
llama_3.1_8b,270,1246,12,5,0.13333333333333333,0.6666666666666666,0.6,0.631578947368421,0.7395669221878052,0.7684157490730286
llama_3.1_8b,271,1247,12,5,0.21428571428571427,0.25,0.6,0.35294117647058826,0.7112002372741699,0.8253917694091797
llama_3.1_8b,272,1248,29,5,0.030303030303030304,0.3448275862068966,0.8,0.48192771084337355,0.6891549825668335,0.7224271893501282
llama_3.1_8b,273,1249,6,5,0.2222222222222222,0.8333333333333334,1.0,0.9090909090909091,0.8341537714004517,0.9698378443717957
llama_3.1_8b,274,125,18,5,0.09523809523809523,0.3888888888888889,1.0,0.56,0.7342907786369324,0.6433004140853882
llama_3.1_8b,275,1250,10,5,0.15384615384615385,0.5,0.6,0.5454545454545454,0.6707507371902466,0.6403359174728394
llama_3.1_8b,276,1251,7,5,0.2,0.5714285714285714,0.8,0.6666666666666666,0.7962102890014648,0.9192991256713867
llama_3.1_8b,277,1252,13,5,0.058823529411764705,0.38461538461538464,0.8,0.5194805194805195,0.6976552605628967,0.7873079180717468
llama_3.1_8b,278,1253,10,5,0.15384615384615385,0.7,0.8,0.7466666666666666,0.778270959854126,0.8743054270744324
llama_3.1_8b,279,1254,11,5,0.3333333333333333,0.45454545454545453,0.8,0.5797101449275363,0.7572510838508606,0.8068414926528931
llama_3.1_8b,280,1255,10,5,0.25,0.5,0.8,0.6153846153846154,0.7673262357711792,0.7032243013381958
llama_3.1_8b,281,1256,11,5,0.23076923076923078,0.36363636363636365,0.8,0.5000000000000001,0.7462868690490723,0.8690353035926819
llama_3.1_8b,282,1257,15,5,0.05263157894736842,0.4666666666666667,1.0,0.6363636363636364,0.7840384244918823,0.8698074817657471
llama_3.1_8b,283,1258,23,5,0.07692307692307693,0.17391304347826086,0.8,0.2857142857142857,0.6920846700668335,0.7720848917961121
llama_3.1_8b,284,1259,17,5,0.15789473684210525,0.47058823529411764,1.0,0.6399999999999999,0.8045997619628906,0.8354718089103699
llama_3.1_8b,285,126,14,5,0.11764705882352941,0.42857142857142855,0.8,0.5581395348837209,0.7276450395584106,0.6911565065383911
llama_3.1_8b,286,1260,15,5,0.17647058823529413,0.6,1.0,0.7499999999999999,0.8250567317008972,0.83773273229599
llama_3.1_8b,287,1261,20,5,0.19047619047619047,0.4,1.0,0.5714285714285715,0.818598210811615,0.7802897691726685
llama_3.1_8b,288,1262,28,5,0.13793103448275862,0.32142857142857145,1.0,0.4864864864864865,0.7563785314559937,0.830489456653595
llama_3.1_8b,289,1263,8,5,0.0,0.375,0.4,0.38709677419354843,0.5631498098373413,0.7279360294342041
llama_3.1_8b,290,1264,11,5,0.23076923076923078,0.5454545454545454,1.0,0.7058823529411764,0.8301290273666382,0.7930832505226135
llama_3.1_8b,291,1265,20,5,0.0,0.3,1.0,0.4615384615384615,0.7308368682861328,0.747047483921051
llama_3.1_8b,292,1266,12,5,0.0,0.4166666666666667,0.6,0.49180327868852464,0.6446449756622314,0.8038375973701477
