K,topic,npmi,top_words
50,39,0.16232240905977416,"['cognitive', 'number', 'arithmetic', 'numbers', 'fractions', 'mathematical', 'numerical', 'memory', 'fraction', 'working']"
50,40,0.1803432948337637,"['health', 'decision', 'et', 'medical', 'al', 'making', 'decision making', 'management', 'et al', 'risk']"
50,41,0.1322876230497877,"['learning', 'course', 'teaching', 'active', 'strategies', 'active learning', 'courses', 'teaching learning', 'student', 'instructors']"
50,42,0.08898824501246873,"['education', 'social', 'policy', 'global', 'new', 'people', 'world', 'economic', 'change', 'development']"
50,43,0.218703651419076,"['problem', 'mathematical', 'solving', 'students', 'problems', 'thinking', 'problem solving', 'reasoning', 'ability', 'solve']"
50,44,0.2774227658498368,"['math', 'anxiety', 'terms', 'source', 'mathematics anxiety', 'document', 'mesh', 'medline source', 'math science', 'medline']"
50,45,0.06266781862318535,"['students', 'study', 'results', 'education', 'used', 'data', 'research', 'level', 'university', 'year']"
50,46,0.07369549527400898,"['learning', 'research', 'students', 'based', 'model', 'study', 'student', 'using', 'development', 'used']"
50,47,0.12661439533150315,"['education', 'curriculum', 'real', 'chapter', 'integrated', 'modelling', 'world', 'interdisciplinary', 'integration', 'real world']"
50,48,0.16393575443848318,"['engineering', 'program', 'students', 'university', 'engineering education', 'paper', 'project', 'technology', 'programs', 'engineering students']"
50,49,0.09170857271217388,"['learning', 'technology', 'students', 'teaching', 'use', 'environment', 'virtual', 'reality', 'using', 'concepts']"
